Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed,52499,1321,9000,18497.078185370086,0.5523750005522743,171214.34374999808,3809.6654031505363,65.49464351626197,1.648001373073431,9000,11000,21000,32000,57000,63000,110000,130000,138000,170000,171000
POST,/follow,5302,149,9000,18796.951784269306,1.4030409947736189,169575.86745799927,16.522255752546208,6.614461226370425,0.18588357652380108,9000,11000,21000,32000,57000,63000,115000,130000,138000,170000,170000
POST,/posts,10514,288,9000,18690.686333754697,1.656333995924797,171212.58404199762,164.37074377021113,13.116643782357347,0.35929174522721286,9000,11000,21000,32000,57000,63000,114000,130000,138000,170000,171000
,Aggregated,68315,1758,9000,18550.148900344375,0.5523750005522743,171214.34374999808,2954.247515187001,85.22574852498974,2.193176694824445,9000,11000,21000,32000,57000,63000,111000,130000,138000,170000,171000
